제목,언론사,링크,요약
"""AI, 만드는 사람만 책임지나""…정부, 이용자까지 AI 윤리원칙 세운다",뉴시스,https://n.news.naver.com/mnews/article/003/0014143861?sid=105,생성형 인공지능(AI)이 일상과 산업 전반으로 빠르게 확산하면서 AI를 만드는 기업뿐 아니라 이를 사용하는 이용자의 책임도 중요해지고 있다. 이에 정부는 새 AI 윤리원칙을 통해 그동안 개발자나 제공자 중심으로 여겨졌던 AI 윤리 실천의 범위를 이용자로 넓힌다. 동시에 법적 구속력이 없는 자율규범으로...
"배경훈 ""기술 혁신과 책임 조화 이루는 AI 생태계 조성""",오마이뉴스,https://n.news.naver.com/mnews/article/047/0002526490?sid=101,"ⓒ 과학기술정보통신부 대변인실 이영규 인공지능(AI)이 산업과 일상 전반으로 빠르게 확산하는 가운데 정부가 안전하고 신뢰할 수 있는 AI 활용을 위한 국가 차원의 윤리 기준을 마련했다. 인간의 존엄성과 사회의 공공선, 인류의 지속가능성을 3대 핵심 가치로 제시하고, 인간중심성·프라이버시 보호..."
"엔비디아, 10조원 베팅해 '개방형 AI' 승부…중국 모델에 맞불",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005565225?sid=101,인공지능(AI) 반도체 최강자 엔비디아가 중국의 첨단 AI 모델에 맞서 세계 최고 수준의 오픈웨이트(개방형 가중치) 모델 개발에 본격적으로 뛰어든다. AI 스타트업 풀사이드와 약 70억달러(약 9조7000억원) 규모의 기술 제휴·지분 투자를 단행하고 개발 인력까지 대거 확보하기로 했다. 22일(현지시간)...
"[AI픽] KT, 전사 IT에 AI 입힌다…'넥스트 IT' 본격 추진",연합뉴스,https://n.news.naver.com/mnews/article/001/0016266309?sid=105,"플랫폼·인프라·업무 3대 축 현대화…AI·자동화 전 과정 적용 KT가 인공지능(AI)을 중심으로 전사 정보기술(IT) 시스템과 업무 환경을 재편하는 'Next(넥스트) IT' 전략을 추진한다고 24일 밝혔다. 기존의 IT 시스템 현대화를 플랫폼과 인프라, 업무 방식 전반으로 확대하고 AI와 자동화 기술을 개발·운영..."
"삼성SDS, 서울대 AI 캠퍼스 구축 지원…고성능 네트워크 지원",뉴스1,https://n.news.naver.com/mnews/article/421/0009128519?sid=105,"삼성SDS(018260)가 서울대학교의 인공지능(AI) 캠퍼스 구축을 지원한다. 삼성SDS는 24일 서울대 '지능형 캠퍼스 구현을 위한 차세대 네트워크 플랫폼 전환' 사업을 수주했다고 밝혔다. 이번 사업은 AI 연구와 교육에 필요한 고성능 네트워크 인프라를 구축하고, 서울대를 AI 시대에 최적화된 'AI 네이티브 캠퍼스..."
"경영 복귀 조현범, 계열사 결집…AI 운영모델 구축 추진",지디넷코리아,https://n.news.naver.com/mnews/article/092/0002434779?sid=103,경영 일선에 복귀한 조현범 한국앤컴퍼니그룹 회장이 계열사 혁신회의에 참석한 가운데 그룹이 인공지능(AI) 기반 제조혁신과 중장기 성장전략... 핵심 의제는 AI를 을 활용해 사업과 조직 전반을 바꾸는 ‘인공지능 전환(AX)’이었다. 그룹은 AI를 단순히 도입하는 데 그치지 않고 실제 업무와 사업에 적용할...
"NH농협은행, AI 안면인증 기반 'AI스마트패드' 시범 도입",더팩트,https://n.news.naver.com/mnews/article/629/0000527027?sid=101,실명 확인 필요 대면거래에 AI 안명인증 기술로 본인 여부 검증 NH농협은행이 고객 편의와 보안 강화를 위해 인공지능(AI) 안면인증 기반의 통합인증단말기 'AI스마트패드'를 전국 100개 영업점에 시범 도입했다. 24일 NH농협은행에 따르면 이번에 적용된 'AI스마트패드'는 단순 비밀번호 입력에 그쳤던 기존...
"오픈AI, 캘리포니아에 ""AI 규제 강화해야""…입장 선회",아시아경제,https://n.news.naver.com/mnews/article/277/0005806179?sid=101,주(州)별 인공지능(AI) 규제에 부정적인 입장을 보여왔던 챗GPT 개발사 오픈AI가 미국 캘리포니아주의 AI 안전 규제를 오히려 강화해야 한다고 요구하고 나섰다. 최근 자체 AI 모델이 통제된 시험 환경을 벗어나 외부 시스템에 접근하는 사고가 발생하는 등 최첨단 AI의 사이버 위협이 현실화하면서 규제에...
자율주행 AI 실증 대상 도시 대폭 확대,헤럴드경제,https://n.news.naver.com/mnews/article/016/0002687573?sid=101,전남광주에 이어 자율주행 AI 실증 대상 도시를 대폭 확대하는 정부의 로드맵이 제12회 과학기술관계장관회의에서 의결됐다고 24일 국토교통부가 밝혔다. 배경훈 부총리 겸 과학기술정보통신부 장관이 서면으로 주관한 관계장관회의에서는 ‘자율주행 AI 실증 및 상용화 로드맵’ 등 총 3개의 안건을 심의...
"“없는 전기까지 사들인다”...AI가 불붙인 핵융합 투자, 한국도 첫발",조선일보,https://n.news.naver.com/mnews/article/023/0003994515?sid=105,"인공지능(AI) 데이터센터가 삼키는 전력이 폭증하자 ‘꿈의 에너지’로 불리는 핵융합에 전 세계 뭉칫돈이 몰리고 있다. 한국에서도 지난달 처음으로... 최근 강한 자기장을 만드는 소재 기술과 AI 정밀 제어 발전으로 기술이 빠르게 진전된 데다, AI 데이터센터발 전력 수요까지 폭증했다. ‘없는 전기’..."
