seq,동,단지명,세대수,건축년도,매물수,위도,경도,dong,apt_name,dong_code,household,movein,offer,lat,lng,status,collected_at
80337,성내동,e편한세상3차,66,2004,,37.5352725,127.1284534,성내동,e편한세상3차,1174010800,66,2004,,37.5352725,127.1284534,failed,2026-08-27 00:07:21
256264,성내동,SK허브진,325,2004,매물 1건,37.5351624,127.1327538,성내동,SK허브진,1174010800,325,2004,매물 1건,37.5351624,127.1327538,done,2026-08-27 00:07:21
20393196,성내동,SM엘루이,104,2019,매물 6건,37.533036081,127.13754137,성내동,SM엘루이,1174010800,104,2019,매물 6건,37.533036081,127.13754137,done,2026-08-27 00:07:21
1698,성내동,경보그레이스힐,77,2002,,37.5311431,127.1354171,성내동,경보그레이스힐,1174010800,77,2002,,37.5311431,127.1354171,failed,2026-08-27 00:07:21
20455776,성내동,그란츠리버파크,407,2025,매물 30건,37.536485223,127.12823251,성내동,그란츠리버파크,1174010800,407,2025,매물 30건,37.536485223,127.12823251,done,2026-08-27 00:07:21
1650,성내동,동방,55,1995,매물 2건,37.5313769,127.1330733,성내동,동방,1174010800,55,1995,매물 2건,37.5313769,127.1330733,done,2026-08-27 00:07:21
1651,성내동,동아1차,135,1997,,37.5288539,127.1329732,성내동,동아1차,1174010800,135,1997,,37.5288539,127.1329732,failed,2026-08-27 00:07:21
1691,성내동,동원,57,2002,,37.5274605,127.1235197,성내동,동원,1174010800,57,2002,,37.5274605,127.1235197,failed,2026-08-27 00:07:21
1690,성내동,동원2차,73,2002,,37.5277079,127.1237682,성내동,동원2차,1174010800,73,2002,,37.5277079,127.1237682,failed,2026-08-27 00:07:21
20134000,성내동,둔촌역아치스톤,66,2010,매물 4건,37.5297425,127.1345145,성내동,둔촌역아치스톤,1174010800,66,2010,매물 4건,37.5297425,127.1345145,done,2026-08-27 00:07:21
1654,성내동,둔촌역청구,222,1999,,37.5293999,127.1332083,성내동,둔촌역청구,1174010800,222,1999,,37.5293999,127.1332083,failed,2026-08-27 00:07:21
20415372,성내동,라움포레,71,2020,매물 3건,37.533082858,127.12393621,성내동,라움포레,1174010800,71,2020,매물 3건,37.533082858,127.12393621,done,2026-08-27 00:07:21
